Date,usindex
1/1/1990,353.4
2/1/1990,328.79
3/1/1990,332.74
4/1/1990,338.7
5/1/1990,332.25
6/1/1990,363.16
7/1/1990,359.54
8/1/1990,355.52
9/1/1990,322.56
10/1/1990,314.94
11/1/1990,307.02
12/1/1990,324.1
1/1/1991,330.22
2/1/1991,343.05
3/1/1991,370.47
4/1/1991,371.3
5/1/1991,380.29
6/1/1991,388.06
7/1/1991,377.92
8/1/1991,387.12
9/1/1991,395.43
10/1/1991,389.2
11/1/1991,391.32
12/1/1991,381.4
1/1/1992,417.09
2/1/1992,409.53
3/1/1992,412.45
4/1/1992,404.23
5/1/1992,412.53
6/1/1992,417.3
7/1/1992,412.88
8/1/1992,425.09
9/1/1992,416.07
10/1/1992,416.29
11/1/1992,422.75
12/1/1992,430.78
1/1/1993,435.71
2/1/1993,442.52
3/1/1993,442.01
4/1/1993,450.3
5/1/1993,442.46
6/1/1993,453.83
7/1/1993,449.02
8/1/1993,450.15
9/1/1993,463.15
10/1/1993,461.29
11/1/1993,469.1
12/1/1993,461.89
1/1/1994,465.44
2/1/1994,479.62
3/1/1994,464.44
4/1/1994,445.77
5/1/1994,453.02
6/1/1994,457.63
7/1/1994,446.2
8/1/1994,461.01
9/1/1994,473.17
10/1/1994,461.74
11/1/1994,468.42
12/1/1994,448.92
1/1/1995,459.27
2/1/1995,470.4
3/1/1995,485.65
4/1/1995,501.85
5/1/1995,514.26
6/1/1995,533.49
7/1/1995,547.09
8/1/1995,559.64
9/1/1995,563.84
10/1/1995,581.72
11/1/1995,584.22
12/1/1995,606.98
1/1/1996,615.93
2/1/1996,638.46
3/1/1996,644.37
4/1/1996,653.73
5/1/1996,654.58
6/1/1996,667.68
7/1/1996,675.88
8/1/1996,650.02
9/1/1996,651.99
10/1/1996,689.08
11/1/1996,703.77
12/1/1996,756.56
1/1/1997,740.74
2/1/1997,786.73
3/1/1997,795.31
4/1/1997,759.64
5/1/1997,798.53
6/1/1997,846.36
7/1/1997,891.03
8/1/1997,947.14
9/1/1997,899.47
10/1/1997,955.41
11/1/1997,938.99
12/1/1997,974.78
1/1/1998,970.43
2/1/1998,1001.27
3/1/1998,1047.7
4/1/1998,1108.15
5/1/1998,1121
6/1/1998,1090.98
7/1/1998,1148.56
8/1/1998,1112.44
9/1/1998,994.26
10/1/1998,986.39
11/1/1998,1111.6
12/1/1998,1175.28
1/1/1999,1229.23
2/1/1999,1273
3/1/1999,1236.16
4/1/1999,1293.72
