Date,usppi
1/15/1974,47.5
2/15/1974,48.1
3/15/1974,49.5
4/15/1974,50.9
5/15/1974,52.5
6/15/1974,53.7
7/15/1974,55.2
8/15/1974,57
9/15/1974,57.6
10/15/1974,58.2
11/15/1974,58.8
12/15/1974,59.1
1/15/1975,59.6
2/15/1975,59.8
3/15/1975,59.7
4/15/1975,59.7
5/15/1975,59.7
6/15/1975,59.8
7/15/1975,59.9
8/15/1975,60.1
9/15/1975,60.3
10/15/1975,61
11/15/1975,61.4
12/15/1975,61.8
1/15/1976,62.1
2/15/1976,62.3
3/15/1976,62.6
4/15/1976,62.8
5/15/1976,63.2
6/15/1976,63.6
7/15/1976,63.9
8/15/1976,64.3
9/15/1976,64.7
10/15/1976,65
11/15/1976,65.3
12/15/1976,65.6
1/15/1977,65.8
2/15/1977,65.9
3/15/1977,66.4
4/15/1977,66.7
5/15/1977,67.1
6/15/1977,67.4
7/15/1977,67.9
8/15/1977,68.2
9/15/1977,68.7
10/15/1977,68.8
11/15/1977,69.1
12/15/1977,69.4
1/15/1978,69.8
2/15/1978,70.3
3/15/1978,70.6
4/15/1978,71.1
5/15/1978,71.6
6/15/1978,72.2
7/15/1978,72.5
8/15/1978,73.2
9/15/1978,73.7
10/15/1978,74.5
11/15/1978,75.2
12/15/1978,75.6
1/15/1979,76.3
2/15/1979,77
3/15/1979,77.8
4/15/1979,78.9
5/15/1979,79.6
6/15/1979,80.1
7/15/1979,81.1
8/15/1979,81.8
9/15/1979,82.7
10/15/1979,83.9
11/15/1979,84.5
12/15/1979,85.2
1/15/1980,87.2
2/15/1980,88.2
3/15/1980,88.6
4/15/1980,88.8
5/15/1980,89.1
6/15/1980,89.8
7/15/1980,90.3
8/15/1980,91.1
9/15/1980,91.4
10/15/1980,92.1
11/15/1980,92.6
12/15/1980,93.7
1/15/1981,94.7
2/15/1981,94.9
3/15/1981,95.6
4/15/1981,96.6
5/15/1981,97.1
6/15/1981,97.7
7/15/1981,98.4
8/15/1981,98.9
9/15/1981,99.3
10/15/1981,99.5
11/15/1981,99.7
12/15/1981,99.8
1/15/1982,99.9
2/15/1982,100
3/15/1982,99.9
4/15/1982,99.8
5/15/1982,100.1
6/15/1982,100
7/15/1982,99.8
8/15/1982,99.7
9/15/1982,100.2
10/15/1982,100.2
11/15/1982,100.2
12/15/1982,100.3
1/15/1983,100.3
2/15/1983,100.8
3/15/1983,100.8
4/15/1983,100.9
5/15/1983,101
6/15/1983,101.3
7/15/1983,101.8
8/15/1983,102
9/15/1983,102.3
10/15/1983,102.5
11/15/1983,102.8
12/15/1983,103.1
1/15/1984,103.4
2/15/1984,103.8
3/15/1984,104.4
4/15/1984,104.5
5/15/1984,104.6
6/15/1984,104.8
7/15/1984,104.9
8/15/1984,105.1
9/15/1984,105
10/15/1984,105.1
11/15/1984,105.3
12/15/1984,105.3
1/15/1985,105.3
2/15/1985,105.3
3/15/1985,105.2
4/15/1985,105.2
5/15/1985,105.3
6/15/1985,105.5
7/15/1985,105.3
8/15/1985,105.3
9/15/1985,105.2
10/15/1985,105.1
11/15/1985,105.1
12/15/1985,105.1
1/15/1986,105
2/15/1986,104.9
3/15/1986,105
4/15/1986,104.7
5/15/1986,104.6
6/15/1986,104.7
7/15/1986,104.8
8/15/1986,104.9
9/15/1986,105.1
10/15/1986,105.1
11/15/1986,105.2
12/15/1986,105.3
1/15/1987,105.6
2/15/1987,105.9
3/15/1987,106.2
4/15/1987,106.5
5/15/1987,107
6/15/1987,107.5
7/15/1987,107.9
8/15/1987,108.3
9/15/1987,108.9
10/15/1987,109.6
11/15/1987,110.1
12/15/1987,110.7
1/15/1988,111.8
2/15/1988,112.2
3/15/1988,112.8
4/15/1988,113.6
5/15/1988,114.3
6/15/1988,114.9
7/15/1988,115.8
8/15/1988,116.3
9/15/1988,116.8
10/15/1988,117.3
11/15/1988,118
12/15/1988,118.6
1/15/1989,119.5
2/15/1989,119.9
3/15/1989,120.2
4/15/1989,120.5
5/15/1989,120.6
6/15/1989,120.6
7/15/1989,120.3
8/15/1989,120.2
9/15/1989,120.2
10/15/1989,120.3
11/15/1989,120
12/15/1989,119.8
1/15/1990,120
2/15/1990,119.9
3/15/1990,120.2
4/15/1990,120.5
5/15/1990,120.6
6/15/1990,120.4
7/15/1990,120.6
8/15/1990,120.8
9/15/1990,121.5
10/15/1990,122.1
