DATE;RSXFSN
01/01/1992;130683
01/02/1992;131244
01/03/1992;142488
01/04/1992;147175
01/05/1992;152420
01/06/1992;151849
01/07/1992;152586
01/08/1992;152476
01/09/1992;148158
01/10/1992;155987
01/11/1992;154824
01/12/1992;191347
01/01/1993;137020
01/02/1993;134462
01/03/1993;153025
01/04/1993;158615
01/05/1993;163519
01/06/1993;162964
01/07/1993;164590
01/08/1993;163989
01/09/1993;159298
01/10/1993;163992
01/11/1993;169980
01/12/1993;206174
01/01/1994;145276
01/02/1994;146332
01/03/1994;173562
01/04/1994;170795
01/05/1994;175527
01/06/1994;178509
01/07/1994;173198
01/08/1994;182445
01/09/1994;175128
01/10/1994;178642
01/11/1994;184272
01/12/1994;221549
01/01/1995;158004
01/02/1995;155156
01/03/1995;181910
01/04/1995;176635
01/05/1995;190269
01/06/1995;191609
01/07/1995;182909
01/08/1995;193370
01/09/1995;182521
01/10/1995;184276
01/11/1995;193405
01/12/1995;227552
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
