Code,BMUS10y(ry),BMUS05y(ry)
1/1/2020,1.911,1.685
1/8/2020,1.874,1.665
1/15/2020,1.788,1.602
1/22/2020,1.771,1.575
1/29/2020,1.594,1.417
2/5/2020,1.649,1.46
2/12/2020,1.63,1.444
2/19/2020,1.575,1.408
2/26/2020,1.339,1.158
3/4/2020,0.993,0.745
3/11/2020,0.822,0.704
3/18/2020,1.258,0.814
3/25/2020,0.869,0.521
4/1/2020,0.602,0.372
4/8/2020,0.764,0.468
4/15/2020,0.641,0.341
4/22/2020,0.619,0.362
4/29/2020,0.627,0.359
5/6/2020,0.713,0.378
5/13/2020,0.641,0.318
5/20/2020,0.668,0.33
5/27/2020,0.667,0.343
6/3/2020,0.76,0.381
6/10/2020,0.747,0.336
6/17/2020,0.733,0.339
6/24/2020,0.684,0.317
7/1/2020,0.682,0.301
7/8/2020,0.666,0.29
7/15/2020,0.63,0.276
7/22/2020,0.595,0.269
7/29/2020,0.58,0.25
8/5/2020,0.543,0.215
8/12/2020,0.67,0.292
8/19/2020,0.661,0.275
8/26/2020,0.675,0.291
9/2/2020,0.651,0.256
9/9/2020,0.703,0.279
9/16/2020,0.687,0.272
9/23/2020,0.675,0.273
9/30/2020,0.677,0.266
10/7/2020,0.785,0.34
10/14/2020,0.722,0.299
10/21/2020,0.816,0.352
10/28/2020,0.781,0.333
11/4/2020,0.768,0.318
11/11/2020,0.944,0.451
11/18/2020,0.866,0.397
11/25/2020,0.87,0.385
12/2/2020,0.946,0.423
12/9/2020,0.941,0.407
12/16/2020,0.92,0.369
12/23/2020,0.955,0.378
12/30/2020,0.927,0.356
1/6/2021,1.043,0.432
1/13/2021,1.089,0.474
1/20/2021,1.091,0.449
1/27/2021,1.015,0.395
2/3/2021,1.131,0.453
2/10/2021,1.133,0.455
2/17/2021,1.283,0.568
2/24/2021,1.371,0.614
3/3/2021,1.471,0.719
3/10/2021,1.52,0.787
3/17/2021,1.642,0.78
3/24/2021,1.614,0.814
3/31/2021,1.746,0.917
4/7/2021,1.655,0.836
4/14/2021,1.636,0.844
4/21/2021,1.565,0.798
4/28/2021,1.62,0.847
5/5/2021,1.584,0.786
5/12/2021,1.696,0.848
5/19/2021,1.679,0.863
5/26/2021,1.571,0.779
6/2/2021,1.59,0.779
6/9/2021,1.488,0.727
6/16/2021,1.568,0.882
6/23/2021,1.486,0.879
6/30/2021,1.444,0.86
7/7/2021,1.321,0.778
7/14/2021,1.356,0.797
7/21/2021,1.281,0.729
7/28/2021,1.262,0.726
8/4/2021,1.183,0.66
8/11/2021,1.338,0.799
8/18/2021,1.255,0.776
8/25/2021,1.322,0.819
9/1/2021,1.302,0.774
9/8/2021,1.334,0.794
9/15/2021,1.303,0.802
9/22/2021,1.331,0.867
9/29/2021,1.539,0.999
10/6/2021,1.524,0.985
10/13/2021,1.549,1.086
10/20/2021,1.635,1.146
10/27/2021,1.529,1.137
11/3/2021,1.578,1.178
11/10/2021,1.54,1.206
11/17/2021,1.588,1.23
11/24/2021,1.655,1.316
12/1/2021,1.419,1.149
12/8/2021,1.495,1.258
12/15/2021,1.448,1.26
12/22/2021,1.459,1.221
12/29/2021,1.543,1.28
1/5/2022,1.704,1.426
1/12/2022,1.726,1.49
1/19/2022,1.828,1.613
1/26/2022,1.846,1.638
2/2/2022,1.767,1.595
2/9/2022,1.929,1.796
2/16/2022,2.055,1.923
2/23/2022,1.986,1.894
3/2/2022,1.865,1.752
3/9/2022,1.949,1.88
3/16/2022,2.187,2.194
3/23/2022,2.322,2.338
3/30/2022,2.359,2.45
4/6/2022,2.61,2.717
4/13/2022,2.69,2.643
4/20/2022,2.916,2.89
4/27/2022,2.819,2.815
5/4/2022,2.916,2.897
5/11/2022,2.919,2.873
5/18/2022,2.894,2.887
5/25/2022,2.756,2.714
6/1/2022,2.93,2.951
6/8/2022,3.028,3.038
6/15/2022,3.393,3.485
6/22/2022,3.155,3.242
6/29/2022,3.092,3.169
7/6/2022,2.91,2.962
7/13/2022,2.905,3.03
7/20/2022,3.035,3.175
7/27/2022,2.731,2.8
8/3/2022,2.748,2.88
8/10/2022,2.786,2.933
8/17/2022,2.904,3.045
8/24/2022,3.118,3.227
8/31/2022,3.145,3.31
9/7/2022,3.264,3.379
9/14/2022,3.411,3.614
9/21/2022,3.511,3.741
9/28/2022,3.706,3.95
10/5/2022,3.758,3.959
10/12/2022,3.901,4.115
10/19/2022,4.128,4.353
10/26/2022,4.014,4.196
11/2/2022,4.06,4.261
11/9/2022,4.15,4.29
11/16/2022,3.703,3.862
11/23/2022,3.713,3.943
11/30/2022,3.707,3.881
